date,USDindex,GP
Jan-1980,95.5,653.00
Feb-1980,96.9,637.00
Mar-1980,101.4,494.50
Apr-1980,97.2,518.00
May-1980,94.1,535.50
Jun-1980,93.2,653.50
Jul-1980,94.5,614.25
Aug-1980,93.6,631.25
Sep-1980,93.3,666.75
Oct-1980,94.7,629.00
Nov-1980,96.5,619.75
Dec-1980,95.6,589.50
Jan-1981,98.5,506.50
Feb-1981,100.3,489.00
Mar-1981,99.9,513.75
Apr-1981,102.6,482.75
May-1981,105.8,479.25
Jun-1981,107.7,426.00
Jul-1981,111.9,406.00
Aug-1981,109.5,425.00
Sep-1981,108.7,428.75
Oct-1981,107.7,427.00
Nov-1981,103.6,414.50
Dec-1981,105.3,400.00
Jan-1982,108.1,387.00
Feb-1982,111.8,362.60
Mar-1982,114.4,320.00
Apr-1982,111.5,361.25
May-1982,113.3,325.25
Jun-1982,118.8,317.50
Jul-1982,118.4,342.90
Aug-1982,119.1,411.25
Sep-1982,120.7,397.00
Oct-1982,122.8,423.25
Nov-1982,118.8,436.00
Dec-1982,115.6,448.00
Jan-1983,118.4,499.50
Feb-1983,117.8,408.50
Mar-1983,119.4,414.75
Apr-1983,118.9,429.25
May-1983,119.6,437.50
Jun-1983,120.5,416.00
Jul-1983,122.5,422.00
Aug-1983,124.2,414.25
Sep-1983,121.8,405.00
Oct-1983,121.7,382.00
Nov-1983,122.8,405.00
Dec-1983,123.4,381.50
Jan-1984,125.6,373.75
Feb-1984,121.9,394.25
Mar-1984,121.7,388.50
Apr-1984,124.3,375.80
May-1984,125.7,384.25
Jun-1984,128.3,373.05
Jul-1984,131.7,342.35
Aug-1984,130.4,348.25
Sep-1984,135.1,343.75
Oct-1984,134.3,333.50
Nov-1984,136.1,329.00
Dec-1984,137.8,308.30
Jan-1985,139.1,306.65
Feb-1985,145.2,287.75
Mar-1985,138.0,329.25
Apr-1985,138.6,321.35
May-1985,137.6,314.00
Jun-1985,136.1,317.75
Jul-1985,129.8,327.50
Aug-1985,131.0,333.25
Sep-1985,125.6,325.75
Oct-1985,123.5,325.10
Nov-1985,120.5,325.30
Dec-1985,120.1,327.00
Jan-1986,118.5,350.50
Feb-1986,113.7,338.15
Mar-1986,114.0,344.00
Apr-1986,108.4,345.25
May-1986,113.0,343.30
Jun-1986,108.9,346.75
Jul-1986,105.7,357.50
Aug-1986,105.2,384.70
Sep-1986,105.3,423.20
Oct-1986,108.0,401.00
Nov-1986,105.9,389.50
Dec-1986,104.0,390.90
Jan-1987,100.7,400.50
Feb-1987,100.1,405.85
Mar-1987,97.2,421.00
Apr-1987,96.4,453.25
May-1987,97.8,451.00
Jun-1987,98.3,447.30
Jul-1987,99.6,462.50
Aug-1987,96.7,453.40
Sep-1987,98.0,459.50
Oct-1987,94.3,468.80
Nov-1987,90.7,492.50
Dec-1987,86.7,486.50
Jan-1988,90.1,458.00
Feb-1988,90.1,426.15
Mar-1988,87.5,456.95
Apr-1988,87.9,449.00
May-1988,89.0,455.50
Jun-1988,92.5,436.55
Jul-1988,93.3,436.80
Aug-1988,94.9,427.75
Sep-1988,93.8,396.70
Oct-1988,90.1,412.40
Nov-1988,87.4,422.60
Dec-1988,89.0,410.75
Jan-1989,91.7,394.00
Feb-1989,90.8,387.00
Mar-1989,93.3,383.20
Apr-1989,93.0,377.55
May-1989,97.6,361.80
Jun-1989,97.6,371.15
Jul-1989,93.6,368.30
Aug-1989,97.0,359.80
Sep-1989,94.6,366.50
Oct-1989,94.8,375.30
Nov-1989,93.8,408.15
Dec-1989,92.2,401.00
Jan-1990,92.3,415.05
Feb-1990,93.2,407.70
Mar-1990,94.4,368.50
Apr-1990,94.2,367.75
May-1990,93.4,363.05
Jun-1990,92.1,352.50
Jul-1990,88.7,372.30
Aug-1990,87.9,387.75
Sep-1990,86.9,408.40
Oct-1990,84.6,379.50
Nov-1990,84.9,384.85
Dec-1990,85.4,386.00
Jan-1991,84.0,366.00
Feb-1991,85.2,362.70
Mar-1991,90.6,355.65
Apr-1991,90.1,357.75
May-1991,91.0,360.40
